run_id,git_commit,machine,gpu,seed,grid_offset,case_name,router_recipe,balance_recipe,balance_coeff,route_row_role,route_rows,route_result_rows,route_rows_output_count,route_rows_output_fraction,route_rows_contribute,depth,leaf_rows,shared_unrouted_frac,eligible_index,layer,sample_split,sample_batches,test_accessed,scheduler_status,trial_status,captured_tokens,observed_tokens,fit_tokens,metric_tokens,metric_split,metric_holdout_fraction,initial_normalized_mse,final_normalized_mse,nmse_delta,final_cosine_similarity,tokens_per_second,train_seconds,dead_leaves,route_entropy_mean,leaf_tokens_p10,leaf_tokens_p50,leaf_tokens_p90,route_churn_available,route_churn_fraction,route_churn_changed_tokens,route_churn_tokens,route_churn_initial_unique_leaves,route_churn_final_unique_leaves,route_churn_reason,active_rows_per_token,stored_rows,effective_stored_rows,estimated_active_flops_per_token,estimated_routing_flops_per_token,estimated_dense_flops_per_token,route_output_rows_per_token,route_output_rows_per_node,locoprop_status,locoprop_mse_before,locoprop_mse_after,locoprop_nonincreasing
route_output_shared_all_full_student_552dc50_wave1_offsets2_6,552dc50163e3d2dbaf3700ebad7b12cd813ee3e3,ai,0,42111,2,fff_route_output_shared_all_full_student_shards,,,,shared_routing_and_output,2,0,all,,true,5,4,,12,blocks.3.forward_block.mixer.mixer.in_proj,train_eval,2,false,succeeded,succeeded,32768,262144,29491,3277,holdout,0.1,1.0147508382797241,0.06827551126480103,0.9464753270149231,0.9670676589012146,34845.54714054069,0.3673353139893152,13,0.0,0.0,2.0,18.0,true,0.7488556606652426,2454,3277,29,24,,226.0,402,402,565000.0,23808,406272,10,2,succeeded,0.04260186478495598,0.014126334339380264,true
route_output_shared_all_full_student_552dc50_wave1_offsets2_6,552dc50163e3d2dbaf3700ebad7b12cd813ee3e3,ai,0,42111,2,fff_route_output_shared_all_full_student_shards,,,,shared_routing_and_output,2,0,all,,true,5,4,,13,blocks.3.forward_block.mixer.mixer.out_proj,train_eval,2,false,succeeded,succeeded,32768,262144,29491,3277,holdout,0.1,1.0066959857940674,0.3903542757034302,0.6163417100906372,0.7491588592529297,48685.63634703707,0.2629112190043088,18,0.0,0.0,0.0,27.99999237060547,true,0.8236191638693927,2699,3277,32,20,,52.0,228,228,59904.0,47616,147456,10,2,succeeded,0.031714875251054764,0.02041735127568245,true
route_output_shared_all_full_student_552dc50_wave1_offsets2_6,552dc50163e3d2dbaf3700ebad7b12cd813ee3e3,ai,0,42111,2,fff_route_output_shared_all_full_student_shards,,,,shared_routing_and_output,2,0,all,,true,5,4,,14,blocks.3.reverse_block.mixer.mixer.in_proj,train_eval,2,false,succeeded,succeeded,32768,262144,29491,3277,holdout,0.1,1.016701579093933,0.07446599006652832,0.9422355890274048,0.9637807607650757,54429.64064251987,0.2351659839914646,13,0.0,0.0,1.0,24.699996948242188,true,0.8684772657918828,2846,3277,32,23,,226.0,402,402,565000.0,23808,406272,10,2,succeeded,0.03699721023440361,0.012594342231750488,true
route_output_shared_all_full_student_552dc50_wave1_offsets2_6,552dc50163e3d2dbaf3700ebad7b12cd813ee3e3,ai,0,42111,2,fff_route_output_shared_all_full_student_shards,,,,shared_routing_and_output,2,0,all,,true,5,4,,15,blocks.3.reverse_block.mixer.mixer.out_proj,train_eval,2,false,succeeded,succeeded,32768,262144,29491,3277,holdout,0.1,1.0077277421951294,0.41503965854644775,0.5926880836486816,0.7648171782493591,57672.459989611445,0.2219430210243445,9,0.0,0.0,2.5,16.899999618530273,true,0.8135489777235276,2666,3277,32,29,,52.0,228,228,59904.0,47616,147456,10,2,succeeded,0.019425399601459503,0.012220814824104309,true
route_output_shared_all_full_student_552dc50_wave1_offsets2_6,552dc50163e3d2dbaf3700ebad7b12cd813ee3e3,ai,0,42111,2,fff_route_output_shared_all_full_student_shards,,,,shared_routing_and_output,2,0,all,,true,5,4,,16,blocks.4.forward_block.mixer.mixer.in_proj,train_eval,2,false,succeeded,succeeded,32768,262144,29491,3277,holdout,0.1,1.0221261978149414,0.10230377316474915,0.9198224246501923,0.951677143573761,58771.12966158889,0.2177940099791158,9,0.0,0.0,3.0,20.699996948242188,true,0.7122368019530058,2334,3277,32,29,,226.0,402,402,565000.0,23808,406272,10,2,succeeded,0.03685328736901283,0.01387154869735241,true
route_output_shared_all_full_student_552dc50_wave1_offsets2_6,552dc50163e3d2dbaf3700ebad7b12cd813ee3e3,ai,0,42111,2,fff_route_output_shared_all_full_student_shards,,,,shared_routing_and_output,2,0,all,,true,5,4,,17,blocks.4.forward_block.mixer.mixer.out_proj,train_eval,2,false,succeeded,succeeded,32768,262144,29491,3277,holdout,0.1,1.0061917304992676,0.4979482889175415,0.5082434415817261,0.6935805678367615,56390.56074482159,0.22698834398761392,8,0.0,0.0,1.0,17.899999618530273,true,0.8031736344217272,2632,3277,32,32,,52.0,228,228,59904.0,47616,147456,10,2,succeeded,0.020111897960305214,0.014314988628029823,true
route_output_shared_all_full_student_552dc50_wave1_offsets2_6,552dc50163e3d2dbaf3700ebad7b12cd813ee3e3,ai,1,42112,3,fff_route_output_shared_all_full_student_shards,,,,shared_routing_and_output,2,0,all,,true,5,4,,18,blocks.4.reverse_block.mixer.mixer.in_proj,train_eval,2,false,succeeded,succeeded,32768,262144,29491,3277,holdout,0.1,1.0194491147994995,0.09261371940374374,0.9268353953957558,0.9550094604492188,39900.583457593835,0.32079731399426237,11,0.0,0.0,2.0,12.899999618530273,true,0.7274946597497711,2384,3277,32,23,,226.0,402,402,565000.0,23808,406272,10,2,succeeded,0.03918907791376114,0.014251179061830044,true
route_output_shared_all_full_student_552dc50_wave1_offsets2_6,552dc50163e3d2dbaf3700ebad7b12cd813ee3e3,ai,1,42112,3,fff_route_output_shared_all_full_student_shards,,,,shared_routing_and_output,2,0,all,,true,5,4,,19,blocks.4.reverse_block.mixer.mixer.out_proj,train_eval,2,false,succeeded,succeeded,32768,262144,29491,3277,holdout,0.1,1.0057508945465088,0.486429899930954,0.5193209946155548,0.710062563419342,56878.242297080666,0.22504211598425172,6,0.0,0.0,5.0,19.399995803833008,true,0.8489472078120232,2782,3277,32,30,,52.0,228,228,59904.0,47616,147456,10,2,succeeded,0.017780981957912445,0.012407003901898861,true
route_output_shared_all_full_student_552dc50_wave1_offsets2_6,552dc50163e3d2dbaf3700ebad7b12cd813ee3e3,ai,1,42112,3,fff_route_output_shared_all_full_student_shards,,,,shared_routing_and_output,2,0,all,,true,5,4,,20,blocks.5.forward_block.mixer.mixer.in_proj,train_eval,2,false,succeeded,succeeded,32768,262144,29491,3277,holdout,0.1,1.0171538591384888,0.10892677307128906,0.9082270860671997,0.9489630460739136,59703.70915361841,0.21439203998306766,15,0.0,0.0,2.0,25.499996185302734,true,0.7384803173634422,2420,3277,32,25,,226.0,402,402,565000.0,23808,406272,10,2,succeeded,0.04193191975355148,0.015669329091906548,true
route_output_shared_all_full_student_552dc50_wave1_offsets2_6,552dc50163e3d2dbaf3700ebad7b12cd813ee3e3,ai,1,42112,3,fff_route_output_shared_all_full_student_shards,,,,shared_routing_and_output,2,0,all,,true,5,4,,21,blocks.5.forward_block.mixer.mixer.out_proj,train_eval,2,false,succeeded,succeeded,32768,262144,29491,3277,holdout,0.1,1.0068154335021973,0.541158139705658,0.4656572937965393,0.6724491119384766,60262.87012012951,0.21240276101161726,4,0.0,0.1000000461935997,4.5,16.799999237060547,true,0.7866951480012206,2578,3277,32,32,,52.0,228,228,59904.0,47616,147456,10,2,succeeded,0.030296800658106804,0.022350477054715157,true
